Data,PPinv,time near dummy,time near,time grad dummy,time grad,threshold,error_near_abs,error_near_sq,error_grad_abs,error_grad_sq,num_sparse_near,num_sparse_grad
MNIST,DBM(UMAP+iLAMP),371.1828889846802,616.1156249046326,0,0,0.05,0.41060899959115316,0.038315956026829294,0,0,65535,0
MNIST,DBM(UMAP+iLAMP),371.1828889846802,543.3505976200104,0,0,0.1,0.41060899959115316,0.038315956026829294,0,0,65535,0
MNIST,DBM(UMAP+iLAMP),371.1828889846802,541.2889275550842,0,0,0.15,0.41060899959115316,0.038315956026829294,0,0,65535,0
MNIST,DBM(UMAP+iLAMP),371.1828889846802,539.1265919208527,0,0,0.2,0.41060899959115316,0.038315956026829294,0,0,65535,0
MNIST,DBM(UMAP+iLAMP),371.1828889846802,471.7506215572357,0,0,0.25,0.4155136461588168,0.038489956039128616,0,0,59848,0
MNIST,DBM(UMAP+iLAMP),371.1828889846802,347.429212808609,0,0,0.3,0.4291214083865213,0.0390269782354826,0,0,46402,0
MNIST,DBM(UMAP+iLAMP),371.1828889846802,256.3701345920563,0,0,0.35,0.44102276613148783,0.03968399446811035,0,0,36155,0
MNIST,DBM(UMAP+iLAMP),371.1828889846802,196.83167004585266,0,0,0.4,0.4616630207288722,0.04180892779840836,0,0,27339,0
MNIST,DBM(UMAP+iLAMP),371.1828889846802,142.0657877922058,0,0,0.45,0.47677843736747305,0.04345020626079417,0,0,20737,0
MNIST,DBM(UMAP+iLAMP),371.1828889846802,102.34752988815308,0,0,0.5,0.48840487549039097,0.04418308526983951,0,0,15450,0
MNIST,DBM(t-SNE+iLAMP),262.9646146297455,468.41845631599426,0,0,0.05,0.7073422174828289,0.008077482753136214,0,0,65534,0
MNIST,DBM(t-SNE+iLAMP),262.9646146297455,478.75059366226196,0,0,0.1,0.7073422174828289,0.008077482753136214,0,0,65534,0
MNIST,DBM(t-SNE+iLAMP),262.9646146297455,477.99843549728394,0,0,0.15,0.7073422174828289,0.008077482753136214,0,0,65534,0
MNIST,DBM(t-SNE+iLAMP),262.9646146297455,465.1009683609009,0,0,0.2,0.7073422174828289,0.008077482753136214,0,0,65534,0
MNIST,DBM(t-SNE+iLAMP),262.9646146297455,506.02431869506836,0,0,0.25,0.7073422174828289,0.008077482753136214,0,0,65534,0
MNIST,DBM(t-SNE+iLAMP),262.9646146297455,503.90102338790894,0,0,0.3,0.7073422174828289,0.008077482753136214,0,0,65534,0
MNIST,DBM(t-SNE+iLAMP),262.9646146297455,485.6509327888489,0,0,0.35,0.7096212958361028,0.00807444674601524,0,0,59900,0
MNIST,DBM(t-SNE+iLAMP),262.9646146297455,359.3680810928345,0,0,0.4,0.7256084303426273,0.008466757074039091,0,0,46764,0
MNIST,DBM(t-SNE+iLAMP),262.9646146297455,268.6013436317444,0,0,0.45,0.7450637184686572,0.00883646970906497,0,0,35429,0
MNIST,DBM(t-SNE+iLAMP),262.9646146297455,195.86076831817627,0,0,0.5,0.7620900601156443,0.009053254976007159,0,0,26264,0
MNIST,DBM(UMAP+NNInv),1.4683964252471924,828.431250333786,0,0,0.05,0.044625075422306676,0.00013029077470288604,0,0,65536,0
MNIST,DBM(UMAP+NNInv),1.4683964252471924,299.3326017856598,0,0,0.1,0.05204845397186996,0.00017980330323033155,0,0,29261,0
MNIST,DBM(UMAP+NNInv),1.4683964252471924,118.97040700912476,0,0,0.15,0.06328477182179494,0.00028561620154792335,0,0,13229,0
MNIST,DBM(UMAP+NNInv),1.4683964252471924,44.575568199157715,0,0,0.2,0.07243346523719721,0.0003825026326916611,0,0,6700,0
MNIST,DBM(UMAP+NNInv),1.4683964252471924,23.412573099136353,0,0,0.25,0.07965307211139139,0.0004708961889301227,0,0,3852,0
MNIST,DBM(UMAP+NNInv),1.4683964252471924,9.626911401748657,0,0,0.3,0.08433208766792878,0.0005382329842608691,0,0,2466,0
MNIST,DBM(UMAP+NNInv),1.4683964252471924,4.400651454925537,0,0,0.35,0.0861849506804742,0.0005606707553543931,0,0,1804,0
MNIST,DBM(UMAP+NNInv),1.4683964252471924,0.9341118335723877,0,0,0.4,0.08881672435578199,0.0005994672983339404,0,0,1398,0
MNIST,DBM(UMAP+NNInv),1.4683964252471924,2.0412938594818115,0,0,0.45,0.08966465002121825,0.000621775886344219,0,0,1238,0
MNIST,DBM(UMAP+NNInv),1.4683964252471924,0.66072678565979,0,0,0.5,0.09155365987882329,0.0006565926192218371,0,0,1176,0
MNIST,DBM(t-SNE+NNInv),1.4091072082519531,853.0995161533356,0,0,0.05,0.04056202996615391,0.00013519775554674492,0,0,65533,0
MNIST,DBM(t-SNE+NNInv),1.4091072082519531,315.9941613674164,0,0,0.1,0.04736343629924366,0.00018867286466677275,0,0,28362,0
MNIST,DBM(t-SNE+NNInv),1.4091072082519531,103.6498634815216,0,0,0.15,0.06070991133709115,0.0003451482858580036,0,0,12780,0
MNIST,DBM(t-SNE+NNInv),1.4091072082519531,46.7918016910553,0,0,0.2,0.07236553502614292,0.0004976036855233258,0,0,6388,0
MNIST,DBM(t-SNE+NNInv),1.4091072082519531,22.386810302734375,0,0,0.25,0.08091470845686821,0.0006249377036131098,0,0,3836,0
MNIST,DBM(t-SNE+NNInv),1.4091072082519531,13.25103497505188,0,0,0.3,0.08683453378386122,0.000727199457065663,0,0,2467,0
MNIST,DBM(t-SNE+NNInv),1.4091072082519531,8.253983736038208,0,0,0.35,0.08954592961495605,0.0007748944432944551,0,0,1846,0
MNIST,DBM(t-SNE+NNInv),1.4091072082519531,2.5887346267700195,0,0,0.4,0.09151921882055158,0.00080212443271887,0,0,1509,0
MNIST,DBM(t-SNE+NNInv),1.4091072082519531,1.7729313373565674,0,0,0.45,0.09199359341515287,0.0008129283597567572,0,0,1362,0
MNIST,DBM(t-SNE+NNInv),1.4091072082519531,1.143561840057373,0,0,0.5,0.0928028834180485,0.0008280021704979381,0,0,1270,0
MNIST,SSNP,2.4625566005706787,213.6400122642517,0,0,0.05,0.01834869224507478,2.7852446792166365e-05,0,0,13493,0
MNIST,SSNP,2.4625566005706787,36.91263508796692,0,0,0.1,0.022329947267847906,4.115512818691475e-05,0,0,3272,0
MNIST,SSNP,2.4625566005706787,8.083744525909424,0,0,0.15,0.023677197790584872,4.8609025020455775e-05,0,0,1694,0
MNIST,SSNP,2.4625566005706787,1.754302740097046,0,0,0.2,0.024157189500418924,5.307300228960335e-05,0,0,1278,0
MNIST,SSNP,2.4625566005706787,0.6596417427062988,0,0,0.25,0.024507961037932565,5.500597036031627e-05,0,0,1180,0
MNIST,SSNP,2.4625566005706787,0.24251127243041992,0,0,0.3,0.02475457178603555,5.701738260082793e-05,0,0,1156,0
MNIST,SSNP,2.4625566005706787,0.24371623992919922,0,0,0.35,0.02475457178603555,5.701738260082793e-05,0,0,1156,0
MNIST,SSNP,2.4625566005706787,0.27229809761047363,0,0,0.4,0.02475457178603555,5.701738260082793e-05,0,0,1156,0
MNIST,SSNP,2.4625566005706787,0.24177956581115723,0,0,0.45,0.02475457178603555,5.701738260082793e-05,0,0,1156,0
MNIST,SSNP,2.4625566005706787,0.2749814987182617,0,0,0.5,0.02475457178603555,5.701738260082793e-05,0,0,1156,0
